 tdata       pcdata
1167609600000000000.00 -312.47637419
1167696000000000000.00 -328.31271995
1167782400000000000.00 -453.22858397
1167868800000000000.00 -290.66619442
1167955200000000000.00 -266.31760333
1168041600000000000.00 -371.17676466
1168128000000000000.00 -392.56167578
1168214400000000000.00 -160.65774259
1168300800000000000.00 -331.77120221
1168387200000000000.00 -404.51885827
1168473600000000000.00 -497.91136089
1168560000000000000.00 -291.95521617
1168646400000000000.00 -388.37737542
1168732800000000000.00 -382.73664328
1168819200000000000.00 -240.04707041
1168905600000000000.00 -218.97093030
1168992000000000000.00 -245.36375787
1169078400000000000.00 -455.35323782
1169164800000000000.00 -406.62868539
1169251200000000000.00 -314.76040166
1169337600000000000.00 -219.48640668
1169424000000000000.00 -252.25852087
1169510400000000000.00 -194.44362467
1169596800000000000.00 -250.80620382
1169683200000000000.00 -259.88983931
1169769600000000000.00 -93.19473609
1169856000000000000.00 -24.12131312
1169942400000000000.00 -111.76686245
1170028800000000000.00 -131.39439170
1170115200000000000.00 -209.98229372
1170201600000000000.00 -68.61258442
1170288000000000000.00 -198.79886273
1170374400000000000.00 -84.78964448
1170460800000000000.00 134.79530137
1170547200000000000.00 153.10389688
1170633600000000000.00 157.14336503
1170720000000000000.00 100.63344778
1170806400000000000.00  40.33590276
1170892800000000000.00 111.74141865
1170979200000000000.00  45.94418454
1171065600000000000.00  81.80262322
1171152000000000000.00 103.60221832
1171238400000000000.00 266.43212113
1171324800000000000.00 210.33163175
1171411200000000000.00  31.09424781
1171497600000000000.00 117.54703541
1171584000000000000.00  29.06150471
1171670400000000000.00 211.38051327
1171756800000000000.00 -52.44481556
1171843200000000000.00 -58.93360038
1171929600000000000.00 -69.84139229
1172016000000000000.00 -138.38961527
1172102400000000000.00 -168.67248010
1172188800000000000.00  28.25489541
1172275200000000000.00 -115.78360512
1172361600000000000.00 -14.53236652
1172448000000000000.00 -101.82834737
1172534400000000000.00 -83.74016753
1172620800000000000.00 -210.88157488
1172707200000000000.00 -253.78417524
1172793600000000000.00 -214.18919079
1172880000000000000.00 -67.98630231
1172966400000000000.00 -199.89796626
1173052800000000000.00 -134.54911625
1173139200000000000.00 -223.25208288
1173225600000000000.00 -221.60373485
1173312000000000000.00 -33.66694441
1173398400000000000.00 -37.99315602
1173484800000000000.00 -202.22215188
1173571200000000000.00 -128.48335826
1173657600000000000.00 -209.01130967
1173744000000000000.00 -221.18046687
1173830400000000000.00 -117.05641278
1173916800000000000.00 -29.45514202
1174003200000000000.00 -185.68949931
1174089600000000000.00 -363.58325160
1174176000000000000.00 -311.14967523
1174262400000000000.00 -205.34307772
1174348800000000000.00 -127.91533190
1174435200000000000.00 -198.66327681
