 tdata       pcdata
1167609600000000000.00 193.95584058
1167696000000000000.00 -182.32571666
1167782400000000000.00 211.60158655
1167868800000000000.00 130.79489717
1167955200000000000.00 -83.78589535
1168041600000000000.00  20.17538508
1168128000000000000.00  -8.97845772
1168214400000000000.00 -200.01793587
1168300800000000000.00  19.57068888
1168387200000000000.00  89.83457499
1168473600000000000.00  67.45534285
1168560000000000000.00 -84.88037413
1168646400000000000.00 188.37366009
1168732800000000000.00 118.97878681
1168819200000000000.00  44.23199161
1168905600000000000.00  59.18098426
1168992000000000000.00 -82.52709831
1169078400000000000.00 -65.67307945
1169164800000000000.00 -260.70093499
1169251200000000000.00 -84.08966383
1169337600000000000.00 -239.27491516
1169424000000000000.00 -40.54301851
1169510400000000000.00 -152.29414729
1169596800000000000.00 -177.36920442
1169683200000000000.00 -137.63638306
1169769600000000000.00 -126.69328990
1169856000000000000.00 -439.49527686
1169942400000000000.00 -70.74350236
1170028800000000000.00 240.91574495
1170115200000000000.00  10.26775921
1170201600000000000.00 -395.03434180
1170288000000000000.00 -93.28823154
1170374400000000000.00 -24.05533706
1170460800000000000.00 -135.57783839
1170547200000000000.00 -160.00490735
1170633600000000000.00 -305.74232889
1170720000000000000.00 -98.52054435
1170806400000000000.00  83.86326779
1170892800000000000.00 -17.15184464
1170979200000000000.00 -204.60320751
1171065600000000000.00  28.06235611
1171152000000000000.00  60.37947794
1171238400000000000.00 -44.60125922
1171324800000000000.00 -89.97263282
1171411200000000000.00  59.18706566
1171497600000000000.00 -119.08813498
1171584000000000000.00 -19.68334950
1171670400000000000.00  56.49596821
1171756800000000000.00 143.11821089
1171843200000000000.00 136.87411601
1171929600000000000.00 311.27174484
1172016000000000000.00  98.97743082
1172102400000000000.00 -75.92544401
1172188800000000000.00 -81.57844871
1172275200000000000.00 -67.00667378
1172361600000000000.00  -3.37910835
1172448000000000000.00 -73.14248577
1172534400000000000.00 136.30173271
1172620800000000000.00 176.86006767
1172707200000000000.00  89.13953462
1172793600000000000.00  57.72611441
1172880000000000000.00  51.31583868
1172966400000000000.00 215.99816543
1173052800000000000.00   8.73678490
1173139200000000000.00 141.75679230
1173225600000000000.00 -54.14316142
1173312000000000000.00 -11.40807868
1173398400000000000.00  55.17750520
1173484800000000000.00  -6.23816588
1173571200000000000.00 -61.59250914
1173657600000000000.00 -192.05201174
1173744000000000000.00 239.17648289
1173830400000000000.00   9.06682970
1173916800000000000.00   1.70535426
1174003200000000000.00  41.36943819
1174089600000000000.00 124.51042746
1174176000000000000.00  46.08987079
1174262400000000000.00 -201.24322613
1174348800000000000.00 -246.22037413
1174435200000000000.00 -188.10441045
1174521600000000000.00 -362.29794091
1174608000000000000.00 -296.65258866
1174694400000000000.00 -226.92827099
1174780800000000000.00 -359.28799380
1174867200000000000.00 -296.39698022
1174953600000000000.00 -28.22700073
1175040000000000000.00 344.42179064
1175126400000000000.00  34.16134169
1175212800000000000.00 142.93858306
1175299200000000000.00 181.46714037
1175385600000000000.00 273.21838818
1175472000000000000.00 376.23377954
1175558400000000000.00 114.66452783
1175644800000000000.00 -186.61861002
1175731200000000000.00 284.07084492
1175817600000000000.00 235.33245636
1175904000000000000.00  68.99381666
1175990400000000000.00 -135.50168957
1176076800000000000.00 -48.65183607
1176163200000000000.00 -26.63547402
1176249600000000000.00 -329.06888685
1176336000000000000.00 -57.26204945
1176422400000000000.00   0.25333985
1176508800000000000.00 -15.45819806
1176595200000000000.00  42.33185283
1176681600000000000.00  71.97796310
1176768000000000000.00  82.36543030
1176854400000000000.00 -39.29009945
1176940800000000000.00 -137.15904488
1177027200000000000.00 -76.34470805
1177113600000000000.00  60.34748392
1177200000000000000.00 -88.86884857
1177286400000000000.00 -76.56981147
1177372800000000000.00 -71.73260544
1177459200000000000.00  28.88887242
1177545600000000000.00  -5.32391699
1177632000000000000.00  41.72643879
1177718400000000000.00  76.38066342
1177804800000000000.00 161.65572806
1177891200000000000.00  35.07229928
1177977600000000000.00  44.10094925
1178064000000000000.00 180.74201717
1178150400000000000.00 228.42668350
1178236800000000000.00  72.33074574
1178323200000000000.00 -48.79501926
1178409600000000000.00 -50.22990878
1178496000000000000.00 -50.69387005
1178582400000000000.00  46.56699063
1178668800000000000.00 -87.71108513
1178755200000000000.00  -0.35536871
1178841600000000000.00 -94.19235154
1178928000000000000.00 -179.65384670
1179014400000000000.00 -255.10584994
1179100800000000000.00 -11.20005867
1179187200000000000.00 -86.40292380
1179273600000000000.00 -45.16140874
1179360000000000000.00 -132.48417685
1179446400000000000.00 -43.40176253
1179532800000000000.00 -156.58634126
1179619200000000000.00 -143.43291304
1179705600000000000.00 -17.10764119
1179792000000000000.00 -44.70268926
1179878400000000000.00  25.86820323
1179964800000000000.00 -184.44166075
1180051200000000000.00 -197.78152197
1180137600000000000.00 -228.79392840
1180224000000000000.00 -27.85592388
1180310400000000000.00   6.05560621
1180396800000000000.00 -108.25707716
1180483200000000000.00  78.69188911
1180569600000000000.00 -73.53817535
1180656000000000000.00 -150.19259377
1180742400000000000.00 -163.57481937
