 tdata       pcdata
1167609600000000000.00 -970.93694386
1167696000000000000.00 -371.14835604
1167782400000000000.00 -438.48704677
1167868800000000000.00 -1255.97104211
1167955200000000000.00 -1145.06015563
1168041600000000000.00 -804.80552778
1168128000000000000.00 -1332.93214945
1168214400000000000.00 -1212.75414654
1168300800000000000.00 -1374.32933334
1168387200000000000.00 -771.29495097
1168473600000000000.00 -1153.11850429
1168560000000000000.00 -1208.69386193
1168646400000000000.00 -881.22371205
1168732800000000000.00 -597.80222394
1168819200000000000.00 -742.62421533
1168905600000000000.00 -352.94316373
1168992000000000000.00 -824.53590587
1169078400000000000.00 -918.33145605
1169164800000000000.00 -290.43338710
1169251200000000000.00 -952.23392572
1169337600000000000.00 -464.64093838
1169424000000000000.00 -960.92472101
1169510400000000000.00 -754.42684602
1169596800000000000.00 -685.39405845
1169683200000000000.00 -483.53164199
1169769600000000000.00 -1334.22149375
1169856000000000000.00 -786.63791989
1169942400000000000.00 -917.57574695
1170028800000000000.00 -443.94287414
1170115200000000000.00 -367.88569054
1170201600000000000.00 -250.35848904
1170288000000000000.00 -192.89170485
1170374400000000000.00 -362.28141248
1170460800000000000.00 -334.67553913
1170547200000000000.00 -114.85966766
1170633600000000000.00 -216.88295040
1170720000000000000.00 -877.09676117
1170806400000000000.00 -918.22829001
1170892800000000000.00 -519.82792246
1170979200000000000.00 -194.21943620
1171065600000000000.00 -582.47322544
1171152000000000000.00 -279.89142523
1171238400000000000.00 -356.59124185
1171324800000000000.00 -293.71254995
1171411200000000000.00 -445.62123785
1171497600000000000.00  96.50602060
1171584000000000000.00 -127.18642905
1171670400000000000.00 -141.23900656
1171756800000000000.00 -330.15083679
1171843200000000000.00 -43.67876241
1171929600000000000.00 -637.57539536
1172016000000000000.00 -314.44939649
1172102400000000000.00 -265.02950598
1172188800000000000.00 -510.58905333
1172275200000000000.00 -368.32548646
1172361600000000000.00 -487.90835536
1172448000000000000.00 -391.31107033
1172534400000000000.00 -334.43500369
1172620800000000000.00 -622.33532936
1172707200000000000.00 -527.60229574
1172793600000000000.00 -531.95505126
1172880000000000000.00 -655.86443231
1172966400000000000.00 -921.51097326
1173052800000000000.00 -1019.21645821
1173139200000000000.00 -696.76808347
1173225600000000000.00 -765.03222890
1173312000000000000.00 -982.53350896
1173398400000000000.00 -905.21496268
1173484800000000000.00 -961.22668810
1173571200000000000.00 -1071.03591684
1173657600000000000.00 -1162.47770834
1173744000000000000.00 -677.29298549
1173830400000000000.00 -703.29199053
1173916800000000000.00 -319.98745899
1174003200000000000.00 -664.77777812
1174089600000000000.00 -1045.67626404
1174176000000000000.00 -270.29461772
1174262400000000000.00 -850.09964479
1174348800000000000.00 -1544.32431453
1174435200000000000.00 -1434.33062320
1174521600000000000.00 -742.61135295
1174608000000000000.00 -705.46545548
1174694400000000000.00 -268.10449818
1174780800000000000.00 -528.90160039
1174867200000000000.00 -465.84100584
1174953600000000000.00 -319.83629924
1175040000000000000.00  26.30181522
1175126400000000000.00 222.38645442
1175212800000000000.00 386.74027057
1175299200000000000.00 249.10808161
1175385600000000000.00 159.99030290
1175472000000000000.00 -328.57622020
1175558400000000000.00 -383.11676901
1175644800000000000.00 -567.03328113
1175731200000000000.00 -406.29996876
1175817600000000000.00 -384.82261680
1175904000000000000.00 -790.92363626
1175990400000000000.00 -829.55449451
1176076800000000000.00 -1109.97835067
1176163200000000000.00 -968.04653523
1176249600000000000.00 -510.29012409
1176336000000000000.00 -1150.93461109
1176422400000000000.00 -207.71499865
