stns Var2 Var3 spatialdata
DAWU 120.89004 22.34059 0.00402281158930261
GS36 120.62533 24.36204 0.0134625917315259
CTOU 120.27784 22.75468 0.00487068334157082
HSIN 121.01425 24.82775 0.00296790084549642
GS31 120.27576 23.0189 0.00125183094715858
SFON 121.01016 24.93289 0.0133227693936004
VR03 120.58151 23.86443 0.0114090302136848
SSUN 120.37777 23.41415 0.00678940095793585
GS23 120.64768 24.09459 0.00476364692199821
MIAO 120.81026 24.58345 0.00216067649780403
SLNP 121.63563 24.75311 0.00341873714483765
WULI 121.30846 24.35228 0.0126308260063876
GS09 121.65193 25.2086 0.0112538698745356
FNGU 120.72445 24.03516 0.00972100930406712
S23R 120.60617 22.64498 0.00385621980706983
AKND 120.35726 22.80331 0.010037125066321
FCWS 121.24981 24.85069 0.00562917634325214
GS21 120.51237 24.0973 0.0138803375704641
DAJN 120.86497 22.3113 0.0109064408102399
BANC 121.4421 24.99765 0.00475264098953262
GS08 121.50149 25.20372 0.0047930312904589
SHAN 121.19949 23.10886 0.00567121023614818
GS25 120.64022 23.98651 0.00589072848205865
FALI 120.5936 22.36525 0.00562840820495736
DAHU 120.87183 24.42288 0.00435052712899607
PEPU 121.61034 24.01788 0.00563793916985082
SUAN 120.29988 23.47757 0.00539451117771195
YUSN 120.95914 23.4873 0.00671581357158373
TUNH 121.30022 23.07516 0.0078365359169324
CHGO 121.37453 23.09833 0.00378866220139941
GS33 120.18781 22.96442 0.00262891602690476
SJPU 120.48126 23.42854 0.00525161237172716
CHUN 121.3931 23.45285 0.00480285358480294
TSIO 120.7041 24.47279 0.00526301732592309
JYAN 121.22634 24.24247 0.00443656686246664
JHCI 120.54742 23.51372 0.00408320822399648
YENL 121.60184 23.9035 0.00510031066436498
SANL 120.76855 23.66448 0.00581743259928492
GS27 120.57787 23.82475 0.00175728298316039
TAPE 121.23087 23.12557 0.00527260307672647
NDHU 121.55081 23.89724 0.00634639763442001
GS26 120.64602 23.86984 0.00521890451339833
TAPU 120.58541 23.2508 0.00576031631921687
GS34 120.27513 22.93922 0.00579550022185115
GS35 120.30938 22.93552 0.00506896269193759
SANJ 121.50087 25.26079 0.00620956656175462
GUKN 120.58878 23.64586 0.00632480590963618
SHWA 120.34781 23.02143 0.00432871582475666
GS24 120.52608 24.02523 0.00662808648799162
SOFN 121.59816 23.87026 0.00472653063523046
GS32 120.33709 23.02578 0.00540004387021138
SHUL 121.56273 23.78761 0.00461876041466031
FUNY 120.32017 23.92231 0.00566911774023309
NAAO 121.81021 24.44934 0.00485441486235252
MOTN 121.02685 23.20054 0.00522702833889014
SPAO 121.48486 24.20501 0.00534262876580254
VR02 120.37348 23.89993 0.00355180327655529
TAYN 120.76419 23.15934 0.00484430761467546
YMSM 121.57405 25.16571 0.0061077515144577
LNCH 120.40261 22.99458 0.00554710419975411
CHEN 121.37358 23.0974 0.0134374826681356
THAI 121.29559 24.60712 0.00373681743940925
S011 120.33945 23.20542 0.0013704535170957
YM03 121.6049 25.14661 0.00892651400001198
PTUN 120.45968 22.64985 0.00602712239786776
PINT 120.64056 23.75606 0.00476417834437515
GS38 120.60058 24.2798 0.00151143643937373
KASH 120.28835 22.61449 0.0083651478381494
TOFN 120.9248 24.66204 0.00565198996747916
CWEN 120.45276 23.47304 0.00511359557243754
JONP 120.524 23.42297 0.00528751107066962
TAPO 121.23741 23.12706 0.00441566151221629
SAND 120.64064 22.71727 0.00468675134531024
WANS 120.88519 23.6075 0.00190091267092436
S103 120.47519 23.56437 0.00465899294999012
NCKU 120.27581 22.93845 0.00521583708390781
PAOL 120.70287 23.10862 0.0038261247647166
GS12 121.38276 25.05303 0.00481260015046502
YM02 121.56069 25.14838 0.00564790500034926
WARO 121.44093 23.81202 0.00965479125223114
WIPN 121.05855 24.67463 0.00448484933903517
DONA 120.70351 22.91562 0.00558538930306335
KZN1 120.69798 23.94625 0.00711736311363154
NANK 120.27439 23.10199 0.00505596384736834
GS11 121.49876 25.13356 0.00325151759723347
S012 120.48826 23.05947 0.00616469923690083
SGAN 120.34965 22.58127 0.0110095621862058
GS16 121.0416 24.74787 0.00163087361312744
GS05 120.5684 23.5671 0.00157713526343213
CHKU 120.09275 23.05584 0.00234413414667914
GS39 120.52959 24.18441 0.00194780005843687
TTUN 121.0807 22.76455 0.00116849558380905
GS13 121.45224 25.02 0.00569994591498783
YM05 121.56548 25.164 0.00799113232473043
ERPN 121.16611 22.94217 0.00607047672029769
JSUI 121.42389 23.49198 0.00621252179827059
JULI 121.31817 23.34166 0.0038457802472752
SHJU 120.92195 24.84508 0.00592346764634606
TATA 120.88705 23.4814 0.004401384225731
GS15 120.99049 24.76664 0.00493431030257065
DOSH 120.82688 24.26268 0.00450644497770606
NCTU 120.99732 24.78882 0.00515972130356165
GS10 121.46154 25.14615 0.00584832000559769
S106 120.33409 23.05079 0.0062609271027535
LONT 121.13056 22.90631 0.00562639962053762
MESN 120.82626 23.26363 0.000570530714502164
SINL 121.25462 22.90829 0.00752787922361844
GS28 120.21436 23.08098 -0.00748478048891432
SLIN 121.4414 23.81185 0.00649541532248763
PKGM 120.3055 23.57989 0.00536755191143121
W029 120.66425 23.54079 0.00486478926155926
WULU 121.04147 23.16926 0.00555962861136296
NSHE 120.8009 24.22579 0.00595863279172003
DNAN 120.44799 23.6738 0.00562553058341898
HUWE 120.28662 23.7294 0.00511324392686768
