stns Var2 Var3 spatialdata
DAWU 120.89004 22.34059 0.00639466056884378
GS36 120.62533 24.36204 0.0067380768073304
CTOU 120.27784 22.75468 0.00601643951951701
HSIN 121.01425 24.82775 0.00670428405451183
GS31 120.27576 23.0189 0.00765857940151779
SFON 121.01016 24.93289 0.00687676208765253
VR03 120.58151 23.86443 0.00661496450548837
SSUN 120.37777 23.41415 0.00681298196660657
GS23 120.64768 24.09459 0.00677339411421455
MIAO 120.81026 24.58345 0.00664581925104043
SLNP 121.63563 24.75311 0.00637185723543096
WULI 121.30846 24.35228 0.00670759332672534
GS09 121.65193 25.2086 0.00595998631879887
FNGU 120.72445 24.03516 0.00657016832093634
S23R 120.60617 22.64498 0.00627720898378924
AKND 120.35726 22.80331 0.00684823721694902
FCWS 121.24981 24.85069 0.00692602007690901
GS21 120.51237 24.0973 0.00681382391538918
DAJN 120.86497 22.3113 0.00692151337975238
BANC 121.4421 24.99765 0.00663838346047435
GS08 121.50149 25.20372 0.00711745383265269
SHAN 121.19949 23.10886 0.00666595983228813
GS25 120.64022 23.98651 0.00675332959999658
FALI 120.5936 22.36525 0.00671623129799825
DAHU 120.87183 24.42288 0.00630517305885892
PEPU 121.61034 24.01788 0.00708264826733196
SUAN 120.29988 23.47757 0.0065322271900733
YUSN 120.95914 23.4873 0.00675861071579986
TUNH 121.30022 23.07516 0.00670035649831526
CHGO 121.37453 23.09833 0.00701844222733617
GS33 120.18781 22.96442 0.00640265450559315
SJPU 120.48126 23.42854 0.00681675727656933
CHUN 121.3931 23.45285 0.00689160563451531
TSIO 120.7041 24.47279 0.00664140757648388
JYAN 121.22634 24.24247 0.00678384357834134
JHCI 120.54742 23.51372 0.00684530253344306
YENL 121.60184 23.9035 0.00678094596310342
SANL 120.76855 23.66448 0.0059933210715931
GS27 120.57787 23.82475 0.00676998175782523
TAPE 121.23087 23.12557 0.00619754420125826
NDHU 121.55081 23.89724 0.00671770428151767
GS26 120.64602 23.86984 0.00682141909570347
TAPU 120.58541 23.2508 0.00691580867998079
GS34 120.27513 22.93922 0.00686745180739057
GS35 120.30938 22.93552 0.00684222447611687
SANJ 121.50087 25.26079 0.00664885251726896
GUKN 120.58878 23.64586 0.00637611902989643
SHWA 120.34781 23.02143 0.0067386354845543
GS24 120.52608 24.02523 0.00685655010885675
SOFN 121.59816 23.87026 0.00606875755312051
GS32 120.33709 23.02578 0.00683865805844139
SHUL 121.56273 23.78761 0.00677890103071604
FUNY 120.32017 23.92231 0.007122366345141
NAAO 121.81021 24.44934 0.00581922470096161
MOTN 121.02685 23.20054 0.00557093651427018
SPAO 121.48486 24.20501 0.00610635959620806
VR02 120.37348 23.89993 0.00686225561058626
TAYN 120.76419 23.15934 0.00688293758484714
YMSM 121.57405 25.16571 0.00671828350624184
LNCH 120.40261 22.99458 0.00665734907720864
CHEN 121.37358 23.0974 0.00580970849935867
THAI 121.29559 24.60712 0.00687586783173393
S011 120.33945 23.20542 0.00635259668131154
YM03 121.6049 25.14661 0.00654911855872239
PTUN 120.45968 22.64985 0.00604551327043916
PINT 120.64056 23.75606 0.00674617526596411
GS38 120.60058 24.2798 0.00683108807509675
KASH 120.28835 22.61449 0.00547596171558601
TOFN 120.9248 24.66204 0.00624027168241633
CWEN 120.45276 23.47304 0.00669719519218
JONP 120.524 23.42297 0.00706025655492325
TAPO 121.23741 23.12706 0.00692173289968642
SAND 120.64064 22.71727 0.00679616608468174
WANS 120.88519 23.6075 0.00659703632748116
S103 120.47519 23.56437 0.00673038904016806
NCKU 120.27581 22.93845 0.00619617981206732
PAOL 120.70287 23.10862 0.00650368112233225
GS12 121.38276 25.05303 0.00668249662979684
YM02 121.56069 25.14838 0.00699635921296749
WARO 121.44093 23.81202 0.00616977481633869
WIPN 121.05855 24.67463 0.0078259345527452
DONA 120.70351 22.91562 0.00616744827995658
KZN1 120.69798 23.94625 0.00545466273317685
NANK 120.27439 23.10199 0.00638575243737046
GS11 121.49876 25.13356 0.00664789105656798
S012 120.48826 23.05947 0.00663772180573135
SGAN 120.34965 22.58127 0.00646780458024307
GS16 121.0416 24.74787 0.00683816052010989
GS05 120.5684 23.5671 0.00670705996552724
CHKU 120.09275 23.05584 0.00684143746009253
GS39 120.52959 24.18441 0.00668179000695574
TTUN 121.0807 22.76455 0.00691415452605388
GS13 121.45224 25.02 0.00701374417532532
YM05 121.56548 25.164 0.00650227742731434
ERPN 121.16611 22.94217 0.0063736465220914
JSUI 121.42389 23.49198 0.00655042540909056
JULI 121.31817 23.34166 0.00681203725374845
SHJU 120.92195 24.84508 0.00678841913611131
TATA 120.88705 23.4814 0.00720392175616943
GS15 120.99049 24.76664 0.00637912254441826
DOSH 120.82688 24.26268 0.00218520027426192
NCTU 120.99732 24.78882 0.00710416584385778
GS10 121.46154 25.14615 0.00593470970306866
S106 120.33409 23.05079 0.00696064026416685
LONT 121.13056 22.90631 0.00614308828756541
MESN 120.82626 23.26363 0.00583668482106219
SINL 121.25462 22.90829 0.00604444175886988
GS28 120.21436 23.08098 0.00620598751145005
SLIN 121.4414 23.81185 0.00682572163214514
PKGM 120.3055 23.57989 0.00704750457074919
W029 120.66425 23.54079 0.00646547689499656
WULU 121.04147 23.16926 0.0067046447235653
NSHE 120.8009 24.22579 0.0062520352678406
DNAN 120.44799 23.6738 0.00707450307159597
HUWE 120.28662 23.7294 0.00672733613840064
