stns Var2 Var3 spatialdata
DAWU 120.89004 22.34059 0.00272259056954209
GS36 120.62533 24.36204 0.00164436303150299
CTOU 120.27784 22.75468 0.00113511486357932
HSIN 121.01425 24.82775 0.00108553004973421
GS31 120.27576 23.0189 0.00201441198673443
SFON 121.01016 24.93289 0.000723768581821096
VR03 120.58151 23.86443 0.00123862345824504
SSUN 120.37777 23.41415 0.00156631563212537
GS23 120.64768 24.09459 0.00155869329362015
MIAO 120.81026 24.58345 0.000758175929905074
SLNP 121.63563 24.75311 0.000941460768969389
WULI 121.30846 24.35228 0.00485119576022673
GS09 121.65193 25.2086 0.00056116016368549
FNGU 120.72445 24.03516 0.00237641627592319
S23R 120.60617 22.64498 0.00155687949257827
AKND 120.35726 22.80331 0.00120508236907926
FCWS 121.24981 24.85069 0.00124734246746426
GS21 120.51237 24.0973 0.00133166034404116
DAJN 120.86497 22.3113 0.000995834609104517
BANC 121.4421 24.99765 0.000188431231611417
GS08 121.50149 25.20372 0.00103485327054887
SHAN 121.19949 23.10886 0.00186954669861665
GS25 120.64022 23.98651 0.00134063590563383
FALI 120.5936 22.36525 0.00187701698575458
DAHU 120.87183 24.42288 0.00205905976330454
PEPU 121.61034 24.01788 0.00135118560355819
SUAN 120.29988 23.47757 0.000654167728505892
YUSN 120.95914 23.4873 0.00202776646430333
TUNH 121.30022 23.07516 -0.000900762826822373
CHGO 121.37453 23.09833 0.000635248129972217
GS33 120.18781 22.96442 0.00184023486013382
SJPU 120.48126 23.42854 0.00147741335664324
CHUN 121.3931 23.45285 0.00279488683747298
TSIO 120.7041 24.47279 0.00165257756591778
JYAN 121.22634 24.24247 0.00207379517535095
JHCI 120.54742 23.51372 0.00187448905129717
YENL 121.60184 23.9035 0.00193027431656557
SANL 120.76855 23.66448 0.00280564542705309
GS27 120.57787 23.82475 0.00198847220676939
TAPE 121.23087 23.12557 0.00255024062890563
NDHU 121.55081 23.89724 0.00154448343751311
GS26 120.64602 23.86984 -0.00119904902537046
TAPU 120.58541 23.2508 0.00160049107175442
GS34 120.27513 22.93922 0.00237508944659939
GS35 120.30938 22.93552 0.00327341465313598
SANJ 121.50087 25.26079 0.000563522241102576
GUKN 120.58878 23.64586 0.000828504373571159
SHWA 120.34781 23.02143 0.00275166310528287
GS24 120.52608 24.02523 -0.000162158549479829
SOFN 121.59816 23.87026 0.00255780872154246
GS32 120.33709 23.02578 0.00273235285918741
SHUL 121.56273 23.78761 0.00195812644603895
FUNY 120.32017 23.92231 0.000421476687242898
NAAO 121.81021 24.44934 0.00237928671946373
MOTN 121.02685 23.20054 0.00160810926678763
SPAO 121.48486 24.20501 0.00119749228067177
VR02 120.37348 23.89993 0.000868732998412257
TAYN 120.76419 23.15934 0.000351609652449202
YMSM 121.57405 25.16571 0.0285773240908393
LNCH 120.40261 22.99458 0.00316261651947845
CHEN 121.37358 23.0974 0.00170505743184585
THAI 121.29559 24.60712 4.89151763463352e-05
S011 120.33945 23.20542 0.00189359184564013
YM03 121.6049 25.14661 0.00104730470752354
PTUN 120.45968 22.64985 0.00173631134374298
PINT 120.64056 23.75606 0.0029770222667814
GS38 120.60058 24.2798 0.0012274454667908
KASH 120.28835 22.61449 0.00206454372768052
TOFN 120.9248 24.66204 0.0013790127390641
CWEN 120.45276 23.47304 0.00199292644097938
JONP 120.524 23.42297 0.0018692381371315
TAPO 121.23741 23.12706 0.00301255034034817
SAND 120.64064 22.71727 0.00100456976289977
WANS 120.88519 23.6075 0.00182454015782667
S103 120.47519 23.56437 0.00188090453401865
NCKU 120.27581 22.93845 0.00274091437174681
PAOL 120.70287 23.10862 0.00103789337247741
GS12 121.38276 25.05303 0.00145740338683934
YM02 121.56069 25.14838 0.00180180106464795
WARO 121.44093 23.81202 0.00211321807436939
WIPN 121.05855 24.67463 0.0013902119610187
DONA 120.70351 22.91562 0.00148358679755498
KZN1 120.69798 23.94625 0.00208125998598181
NANK 120.27439 23.10199 0.00226507854558743
GS11 121.49876 25.13356 0.00234729058757641
S012 120.48826 23.05947 0.0028806237882283
SGAN 120.34965 22.58127 0.00191059705518814
GS16 121.0416 24.74787 0.00154030105407822
GS05 120.5684 23.5671 0.00141201763439406
CHKU 120.09275 23.05584 -0.00482449064057835
GS39 120.52959 24.18441 0.000968488855051654
TTUN 121.0807 22.76455 0.0030526048368306
GS13 121.45224 25.02 0.00189465224850146
YM05 121.56548 25.164 0.00266532095025525
ERPN 121.16611 22.94217 0.00212097582015791
JSUI 121.42389 23.49198 0.00242092189866354
JULI 121.31817 23.34166 -0.00199718790043204
SHJU 120.92195 24.84508 0.0028404824851632
TATA 120.88705 23.4814 0.00123552191409522
GS15 120.99049 24.76664 0.001164814716767
DOSH 120.82688 24.26268 0.0020499901384216
NCTU 120.99732 24.78882 -0.000509131812960158
GS10 121.46154 25.14615 0.00323396390655216
S106 120.33409 23.05079 0.00254008627404919
LONT 121.13056 22.90631 0.00314906360481756
MESN 120.82626 23.26363 0.00210243347428616
SINL 121.25462 22.90829 0.00342310786489392
GS28 120.21436 23.08098 -2.08311628889371e-05
SLIN 121.4414 23.81185 0.00479030251522594
PKGM 120.3055 23.57989 -0.0028400376299034
W029 120.66425 23.54079 0.00106335420872825
WULU 121.04147 23.16926 -0.000168881308381239
NSHE 120.8009 24.22579 0.0012959285095965
DNAN 120.44799 23.6738 0.000437179814423442
HUWE 120.28662 23.7294 -0.000203856485491678
