 tdata       pcdata
1167609600000000000.00 -1041261.97012477
1167696000000000000.00 -1039881.94025377
1167782400000000000.00 -1047365.09198162
1167868800000000000.00 -1040071.33969641
1167955200000000000.00 -1038741.13261358
1168041600000000000.00 -1039777.64359311
1168128000000000000.00 -1025006.96700564
1168214400000000000.00 -1034120.91251536
1168300800000000000.00 -1039819.62067292
1168387200000000000.00 -1041203.81731288
1168473600000000000.00 -1044482.42969364
1168560000000000000.00 -1033051.60555593
1168646400000000000.00 -1038962.95604735
1168732800000000000.00 -1036821.64190231
1168819200000000000.00 -1033432.68156781
1168905600000000000.00 -1034353.16483026
1168992000000000000.00 -1031108.15011578
1169078400000000000.00 -1038802.93017220
1169164800000000000.00 -1034384.49627714
1169251200000000000.00 -1030556.10837893
1169337600000000000.00 -1030918.99096796
1169424000000000000.00 -1028567.40947818
1169510400000000000.00 -1025622.01968928
1169596800000000000.00 -1028240.19866477
1169683200000000000.00 -1030971.22932105
1169769600000000000.00 -1024210.78187417
1169856000000000000.00 -1021025.78704870
1169942400000000000.00 -1022811.45514998
1170028800000000000.00 -1022600.72483898
1170115200000000000.00 -1024043.27536517
1170201600000000000.00 -1019720.98815564
1170288000000000000.00 -1023204.77452158
1170374400000000000.00 -1019848.27569776
1170460800000000000.00 -1008228.77299136
1170547200000000000.00 -1010661.11240373
1170633600000000000.00 -1011005.92964029
1170720000000000000.00 -1011015.12108987
1170806400000000000.00 -1011117.38154519
1170892800000000000.00 -1006770.57787868
1170979200000000000.00 -1008840.46365318
1171065600000000000.00 -1010026.30091507
1171152000000000000.00 -1008396.38613581
1171238400000000000.00 -1000540.65744539
1171324800000000000.00 -1001791.17103474
1171411200000000000.00 -1007282.63114482
1171497600000000000.00 -1003298.01034344
1171584000000000000.00 -1005318.06839790
1171670400000000000.00 -996450.03207167
1171756800000000000.00 -1008586.24336410
1171843200000000000.00 -1012528.03946737
1171929600000000000.00 -1009179.98930386
1172016000000000000.00 -1009634.04403642
1172102400000000000.00 -1012301.28999425
1172188800000000000.00 -1005107.00658121
1172275200000000000.00 -1007337.38804533
1172361600000000000.00 -1003823.69425993
1172448000000000000.00 -1006504.51876868
1172534400000000000.00 -1005955.70962160
1172620800000000000.00 -1008409.18793447
1172707200000000000.00 -1007173.90673089
1172793600000000000.00 -1007214.10869324
1172880000000000000.00 -1003421.45585739
1172966400000000000.00 -1006439.88921361
1173052800000000000.00 -1002317.30596254
1173139200000000000.00 -1006844.60744537
1173225600000000000.00 -1005322.37617893
1173312000000000000.00 -999491.42163773
1173398400000000000.00 -1002172.88449521
1173484800000000000.00 -1006476.22706770
1173571200000000000.00 -1000779.93999953
1173657600000000000.00 -1004330.95436723
1173744000000000000.00 -1001009.78465204
1173830400000000000.00 -998104.16144722
1173916800000000000.00 -996881.37024297
1174003200000000000.00 -1000701.83852469
1174089600000000000.00 -1006214.15304253
1174176000000000000.00 -1005556.80040053
1174262400000000000.00 -1000586.84639428
1174348800000000000.00 -997600.40526038
1174435200000000000.00 -999387.55446467
1174521600000000000.00 -992383.09464624
1174608000000000000.00 -993833.87988013
1174694400000000000.00 -995179.42128908
1174780800000000000.00 -988917.87634446
1174867200000000000.00 -989407.65588461
1174953600000000000.00 -1001426.74697047
1175040000000000000.00 -997057.00017610
1175126400000000000.00 -994579.62221354
1175212800000000000.00 -992932.66921185
1175299200000000000.00 -990169.92081963
1175385600000000000.00 -993685.77686844
1175472000000000000.00 -995596.08322684
1175558400000000000.00 -998057.14102747
1175644800000000000.00 -988847.33213079
1175731200000000000.00 -986847.71081927
1175817600000000000.00 -994129.95228138
1175904000000000000.00 -990413.88942114
1175990400000000000.00 -993835.84561575
1176076800000000000.00 -988500.10226177
1176163200000000000.00 -986926.68800847
1176249600000000000.00 -986263.63764298
1176336000000000000.00 -983232.53627140
1176422400000000000.00 -979631.84381341
1176508800000000000.00 -984096.60744491
1176595200000000000.00 -975331.11498224
1176681600000000000.00 -979261.16182841
1176768000000000000.00 -976266.93482675
1176854400000000000.00 -986255.29589503
1176940800000000000.00 -978624.21809482
1177027200000000000.00 -982303.33315179
1177113600000000000.00 -979815.84988330
1177200000000000000.00 -980543.74522075
1177286400000000000.00 -980430.54818586
1177372800000000000.00 -979125.37194110
1177459200000000000.00 -985475.77242560
1177545600000000000.00 -977547.52949638
1177632000000000000.00 -977596.27799697
1177718400000000000.00 -977362.91288413
1177804800000000000.00 -974310.71345358
1177891200000000000.00 -974838.65722822
1177977600000000000.00 -979721.96713488
1178064000000000000.00 -977039.81097571
1178150400000000000.00 -968212.73370649
1178236800000000000.00 -971952.87268735
1178323200000000000.00 -971501.55333341
1178409600000000000.00 -973170.64593419
1178496000000000000.00 -969773.62820623
1178582400000000000.00 -968303.18682744
1178668800000000000.00 -969965.81438632
1178755200000000000.00 -968274.99241777
1178841600000000000.00 -969231.22756943
1178928000000000000.00 -977522.31236431
1179014400000000000.00 -975260.89302256
1179100800000000000.00 -974345.29444751
1179187200000000000.00 -974480.80812341
1179273600000000000.00 -967581.22645826
1179360000000000000.00 -966173.10241535
1179446400000000000.00 -974304.28465900
1179532800000000000.00 -966487.95079676
1179619200000000000.00 -961412.88880390
1179705600000000000.00 -970185.94640580
1179792000000000000.00 -969392.76722363
1179878400000000000.00 -974920.80970125
1179964800000000000.00 -955016.63241241
1180051200000000000.00 -960334.37066161
