 tdata       pcdata
1167609600000000000.00 381506.08076067
1167696000000000000.00 375230.38592682
1167782400000000000.00 380897.82021722
1167868800000000000.00 380501.76613950
1167955200000000000.00 377963.42739599
1168041600000000000.00 378509.17245716
1168128000000000000.00 374820.54559623
1168214400000000000.00 374755.21923410
1168300800000000000.00 378388.54315478
1168387200000000000.00 378400.16975844
1168473600000000000.00 377575.20861050
1168560000000000000.00 375301.96902397
1168646400000000000.00 378823.41111410
1168732800000000000.00 377570.13320735
1168819200000000000.00 376630.52377027
1168905600000000000.00 376417.03402663
1168992000000000000.00 374718.81179925
1169078400000000000.00 374796.98854655
1169164800000000000.00 372318.04271737
1169251200000000000.00 373520.36589049
1169337600000000000.00 370637.94249600
1169424000000000000.00 374489.96622691
1169510400000000000.00 371950.06973311
1169596800000000000.00 371746.87368089
1169683200000000000.00 371837.78978756
1169769600000000000.00 372010.41807378
1169856000000000000.00 368320.90574165
1169942400000000000.00 373446.48910318
1170028800000000000.00 376667.93349335
1170115200000000000.00 373332.18330504
1170201600000000000.00 368119.82013015
1170288000000000000.00 373058.91139528
1170374400000000000.00 372924.25791928
1170460800000000000.00 370130.12751379
1170547200000000000.00 369990.59114061
1170633600000000000.00 368258.59100100
1170720000000000000.00 369957.05313032
1170806400000000000.00 372243.86022894
1170892800000000000.00 370882.74696618
1170979200000000000.00 368442.04515784
1171065600000000000.00 372891.78490343
1171152000000000000.00 372769.50860454
1171238400000000000.00 369441.48905473
1171324800000000000.00 370858.84093614
1171411200000000000.00 371791.17583441
1171497600000000000.00 368788.54173527
1171584000000000000.00 369664.99178591
1171670400000000000.00 369592.82915475
1171756800000000000.00 370717.74247535
1171843200000000000.00 370822.16619808
1171929600000000000.00 375060.69928975
1172016000000000000.00 369551.12943301
1172102400000000000.00 369375.60196083
1172188800000000000.00 368333.04146401
1172275200000000000.00 369059.89843667
1172361600000000000.00 369227.01040430
1172448000000000000.00 368020.59306054
1172534400000000000.00 370446.87838874
1172620800000000000.00 369937.37793930
1172707200000000000.00 367882.22075753
1172793600000000000.00 368644.73559589
1172880000000000000.00 367830.91482262
1172966400000000000.00 369382.09782063
1173052800000000000.00 368199.12188517
1173139200000000000.00 369068.45848435
1173225600000000000.00 365598.65119455
1173312000000000000.00 366612.35603957
1173398400000000000.00 367619.80325489
1173484800000000000.00 366320.18376068
1173571200000000000.00 365184.25574503
1173657600000000000.00 364363.57650862
1173744000000000000.00 369098.28302381
1173830400000000000.00 366027.53296471
1173916800000000000.00 366397.43049063
1174003200000000000.00 366431.96861679
1174089600000000000.00 367615.26245415
1174176000000000000.00 365101.96477168
1174262400000000000.00 362187.61919841
1174348800000000000.00 361603.72826553
1174435200000000000.00 362164.92572669
1174521600000000000.00 359766.32619741
1174608000000000000.00 360770.77454187
1174694400000000000.00 361909.01565102
1174780800000000000.00 359061.87912973
1174867200000000000.00 360347.43682285
1174953600000000000.00 363361.93079911
1175040000000000000.00 367404.76916345
1175126400000000000.00 364864.76824413
1175212800000000000.00 365036.39542294
1175299200000000000.00 365363.77066166
1175385600000000000.00 366608.00009972
1175472000000000000.00 366517.44812113
1175558400000000000.00 362574.96128341
1175644800000000000.00 358894.46435139
1175731200000000000.00 365070.31300778
1175817600000000000.00 363622.88479368
1175904000000000000.00 362303.94515556
1175990400000000000.00 359283.83820881
1176076800000000000.00 359473.85306808
1176163200000000000.00 360526.08131464
1176249600000000000.00 354660.06041724
1176336000000000000.00 360390.47442272
1176422400000000000.00 359966.60503091
1176508800000000000.00 359795.25088781
1176595200000000000.00 361658.62017304
1176681600000000000.00 360407.21069719
1176768000000000000.00 360421.72537552
1176854400000000000.00 359727.00046271
1176940800000000000.00 357506.01986958
1177027200000000000.00 358450.06580166
1177113600000000000.00 359049.53525074
1177200000000000000.00 358884.83740070
1177286400000000000.00 356287.40728059
1177372800000000000.00 358629.05636369
1177459200000000000.00 358909.51069321
1177545600000000000.00 357739.32936304
1177632000000000000.00 359027.00451378
1177718400000000000.00 357898.64355542
1177804800000000000.00 359039.41883042
1177891200000000000.00 357238.36814983
1177977600000000000.00 359154.30085298
1178064000000000000.00 359336.65805127
1178150400000000000.00 360470.29093627
1178236800000000000.00 354869.54607972
1178323200000000000.00 355925.45599400
1178409600000000000.00 355111.29723287
1178496000000000000.00 355242.85740185
1178582400000000000.00 355851.79635154
1178668800000000000.00 353808.97363542
1178755200000000000.00 352478.97678340
1178841600000000000.00 353657.64636135
1178928000000000000.00 353642.69324933
1179014400000000000.00 351208.01630309
1179100800000000000.00 353280.51610266
1179187200000000000.00 353609.98376077
1179273600000000000.00 353716.75064203
1179360000000000000.00 352005.07770771
1179446400000000000.00 353174.88433035
1179532800000000000.00 352912.37812214
1179619200000000000.00 352233.99861639
1179705600000000000.00 353675.99645566
1179792000000000000.00 352265.89605715
1179878400000000000.00 354062.82539329
1179964800000000000.00 351552.01051783
1180051200000000000.00 350257.24636564
1180137600000000000.00 349354.32036282
1180224000000000000.00 351456.64870127
1180310400000000000.00 352523.10412727
1180396800000000000.00 351827.36744131
1180483200000000000.00 352594.76606495
1180569600000000000.00 348951.68979202
1180656000000000000.00 350315.90694976
1180742400000000000.00 350256.79077266
1180828800000000000.00 348969.92178318
1180915200000000000.00 349788.78718102
1181001600000000000.00 349494.43408558
1181088000000000000.00 351632.97550788
1181174400000000000.00 349927.28650972
1181260800000000000.00 350631.92391506
1181347200000000000.00 350378.07384025
1181433600000000000.00 349207.95753231
1181520000000000000.00 351448.37597566
1181606400000000000.00 351331.64742707
1181692800000000000.00 348080.48656001
1181779200000000000.00 348131.05702657
1181865600000000000.00 347292.37160294
1181952000000000000.00 345241.91859624
1182038400000000000.00 348300.55226982
1182124800000000000.00 345561.43586545
1182211200000000000.00 349707.52158658
1182297600000000000.00 349345.84461558
1182384000000000000.00 348098.90427243
1182470400000000000.00 345580.82027797
1182556800000000000.00 346567.22229533
1182643200000000000.00 346784.26654386
1182729600000000000.00 346237.31215956
1182816000000000000.00 344617.62609239
1182902400000000000.00 346173.49061027
1182988800000000000.00 345199.01882543
1183075200000000000.00 346235.86247736
1183161600000000000.00 347598.29740900
1183248000000000000.00 350086.59761856
1183334400000000000.00 350003.19663419
1183420800000000000.00 347558.96243500
1183507200000000000.00 346824.34083105
1183593600000000000.00 347642.12353949
1183680000000000000.00 345092.26240463
1183766400000000000.00 346314.42399852
1183852800000000000.00 346712.42136216
1183939200000000000.00 344322.68419348
1184025600000000000.00 346991.23856855
1184112000000000000.00 346153.91546689
1184198400000000000.00 344851.86799604
1184284800000000000.00 345197.81503402
1184371200000000000.00 343003.69019071
1184457600000000000.00 341797.09665310
1184544000000000000.00 344460.58984382
1184630400000000000.00 345307.42870436
1184716800000000000.00 341544.17006996
1184803200000000000.00 343605.78845715
