 tdata       pcdata
1167609600000000000.00 106269.86240749
1167696000000000000.00 109499.60630081
1167782400000000000.00 108935.37141235
1167868800000000000.00 107511.06082434
1167955200000000000.00 106661.75940928
1168041600000000000.00 106214.64369239
1168128000000000000.00 99672.77988615
1168214400000000000.00 107178.76450171
1168300800000000000.00 106744.41222991
1168387200000000000.00 109344.00466170
1168473600000000000.00 108297.90614435
1168560000000000000.00 106863.56268933
1168646400000000000.00 107946.23975905
1168732800000000000.00 108940.85146273
1168819200000000000.00 107344.06839209
1168905600000000000.00 109785.06932858
1168992000000000000.00 104678.84733229
1169078400000000000.00 108195.99522297
1169164800000000000.00 105235.98979167
1169251200000000000.00 108666.53865867
1169337600000000000.00 108109.61377193
1169424000000000000.00 106296.03130286
1169510400000000000.00 106170.84003955
1169596800000000000.00 107227.18488210
1169683200000000000.00 108300.02805327
1169769600000000000.00 106204.69030175
1169856000000000000.00 104764.66662722
1169942400000000000.00 108074.98594472
1170028800000000000.00 107496.99006414
1170115200000000000.00 105983.29523674
1170201600000000000.00 107882.66479529
1170288000000000000.00 107728.85331619
1170374400000000000.00 108382.25136889
1170460800000000000.00 107031.50894153
1170547200000000000.00 106954.07690643
1170633600000000000.00 107652.55413336
1170720000000000000.00 107417.33771302
1170806400000000000.00 105352.11423444
1170892800000000000.00 106328.34402911
1170979200000000000.00 111274.85513320
1171065600000000000.00 107617.96189428
1171152000000000000.00 108627.67894609
1171238400000000000.00 107310.97430351
1171324800000000000.00 106667.89992102
1171411200000000000.00 104132.56640640
1171497600000000000.00 109795.54971487
1171584000000000000.00 107074.66052480
1171670400000000000.00 107306.37844199
1171756800000000000.00 107107.20546268
1171843200000000000.00 108992.15960839
1171929600000000000.00 107368.92254595
1172016000000000000.00 108176.69185274
1172102400000000000.00 105903.04160236
1172188800000000000.00 106799.23970471
1172275200000000000.00 108353.14784733
1172361600000000000.00 105731.52595664
1172448000000000000.00 105795.41239541
1172534400000000000.00 105195.33707833
1172620800000000000.00 104924.66555664
1172707200000000000.00 104998.92350333
1172793600000000000.00 102531.38580157
1172880000000000000.00 103191.26387520
1172966400000000000.00 106377.61931063
1173052800000000000.00 103045.17601253
1173139200000000000.00 106409.23052522
1173225600000000000.00 104546.84157762
1173312000000000000.00 105011.47441756
1173398400000000000.00 105055.12255923
1173484800000000000.00 101343.25452304
1173571200000000000.00 101142.87881225
