stns Var2 Var3 spatialdata
DAWU 120.89004 22.34059 -0.00420931642798334
GS36 120.62533 24.36204 0.200619881081556
CTOU 120.27784 22.75468 0.234629505083428
HSIN 121.01425 24.82775 -0.0568549777069878
GS31 120.27576 23.0189 0.110523973677534
SSUN 120.37777 23.41415 0.250688301998746
SFON 121.01016 24.93289 -0.183257611873077
GS23 120.64768 24.09459 0.148772880653819
VR03 120.58151 23.86443 -0.273455381404137
SLNP 121.63563 24.75311 -0.137885077137267
MIAO 120.81026 24.58345 0.374974698927161
GS09 121.65193 25.2086 0.154621910309217
WULI 121.30846 24.35228 1.13596971487033
FNGU 120.72445 24.03516 -0.477482803627213
S23R 120.60617 22.64498 0.519858089065592
AKND 120.35726 22.80331 -0.362138065523644
FCWS 121.24981 24.85069 -0.569912546998108
GS08 121.50149 25.20372 -0.508528261614588
GS21 120.51237 24.0973 0.669297253781691
SHAN 121.19949 23.10886 1.92478532418721
DAJN 120.86497 22.3113 1.66418342629515
GS25 120.64022 23.98651 1.65279086813669
CHUN 121.3931 23.45285 0.954610376389815
FALI 120.5936 22.36525 -1.28296633659121
YUSN 120.95914 23.4873 -1.22437766807716
SUAN 120.29988 23.47757 1.76928149755838
BANC 121.4421 24.99765 1.61054901527003
DAHU 120.87183 24.42288 -0.803395457792334
PEPU 121.61034 24.01788 1.48551865307285
CHGO 121.37453 23.09833 1.02374732447043
GS33 120.18781 22.96442 1.69815935120412
TUNH 121.30022 23.07516 1.37775452510907
SJPU 120.48126 23.42854 1.80893922772301
TSIO 120.7041 24.47279 0.98935933974732
TAPU 120.58541 23.2508 -0.553171893942062
YENL 121.60184 23.9035 0.775310396893912
JHCI 120.54742 23.51372 1.66919672135391
JYAN 121.22634 24.24247 1.26605067933441
GS27 120.57787 23.82475 1.57428558028004
GS26 120.64602 23.86984 1.60557614033782
TAPE 121.23087 23.12557 0.407374302185491
NDHU 121.55081 23.89724 1.80423328948549
SANL 120.76855 23.66448 2.24062563263108
GS35 120.30938 22.93552 1.45439812641498
SHWA 120.34781 23.02143 1.4533276102144
GUKN 120.58878 23.64586 1.59089737926118
SANJ 121.50087 25.26079 1.29328130255544
GS34 120.27513 22.93922 1.67685862917728
SOFN 121.59816 23.87026 1.58408806164199
GS24 120.52608 24.02523 1.27504182286963
FUNY 120.32017 23.92231 1.57666656539269
NAAO 121.81021 24.44934 0.447786232865541
SHUL 121.56273 23.78761 1.73774765541773
MOTN 121.02685 23.20054 1.25885789745339
GS32 120.33709 23.02578 1.47759627108903
SPAO 121.48486 24.20501 -1.16471565527208
VR02 120.37348 23.89993 1.43054176383645
TAYN 120.76419 23.15934 -0.7989838933037
YMSM 121.57405 25.16571 1.43620331621398
LNCH 120.40261 22.99458 1.1690036514179
CHEN 121.37358 23.0974 0.23533165245981
THAI 121.29559 24.60712 1.56894885606789
S011 120.33945 23.20542 -0.728359244504139
YM03 121.6049 25.14661 0.0222781886671172
PTUN 120.45968 22.64985 -0.040628560197971
PINT 120.64056 23.75606 1.43227690975684
GS38 120.60058 24.2798 -1.12704214880961
KASH 120.28835 22.61449 0.932175504889974
CWEN 120.45276 23.47304 -0.427066164586086
JONP 120.524 23.42297 -0.795767978932879
TOFN 120.9248 24.66204 1.17878033733267
WANS 120.88519 23.6075 -1.12567250393106
GS12 121.38276 25.05303 0.619083307001061
NANK 120.27439 23.10199 -1.03486080139326
SGAN 120.34965 22.58127 1.52147925552686
TAPO 121.23741 23.12706 1.59110949688706
PAOL 120.70287 23.10862 1.88179721915952
NCKU 120.27581 22.93845 1.13739691211706
WARO 121.44093 23.81202 -1.23337051567887
KZN1 120.69798 23.94625 -0.172268895778278
SAND 120.64064 22.71727 -0.414899988372843
DONA 120.70351 22.91562 -0.760287632742147
GS05 120.5684 23.5671 1.63158153706316
WIPN 121.05855 24.67463 0.618051971531145
S103 120.47519 23.56437 -0.185449208215683
YM05 121.56548 25.164 0.406553770129134
S012 120.48826 23.05947 1.85864594683584
JSUI 121.42389 23.49198 1.29994239587798
GS39 120.52959 24.18441 1.69571732287978
CHKU 120.09275 23.05584 0.979328366838344
YM02 121.56069 25.14838 0.476416708191393
ERPN 121.16611 22.94217 1.59728347135602
LONT 121.13056 22.90631 -0.797380408452503
GS16 121.0416 24.74787 1.56360924386064
TATA 120.88705 23.4814 1.75299327774447
GS11 121.49876 25.13356 1.52242451569527
TTUN 121.0807 22.76455 -0.527464403881331
S106 120.33409 23.05079 1.27586517852867
SINL 121.25462 22.90829 1.58042267831165
GS13 121.45224 25.02 -1.34670332585305
NCTU 120.99732 24.78882 -0.753276855085499
GS15 120.99049 24.76664 -0.751530279077344
GS10 121.46154 25.14615 1.66744552526238
GS28 120.21436 23.08098 1.54564953756993
JULI 121.31817 23.34166 1.66585830197204
DOSH 120.82688 24.26268 -1.33430649787601
W029 120.66425 23.54079 1.83889273363482
NSHE 120.8009 24.22579 1.36797760709609
HUWE 120.28662 23.7294 1.12497610239675
SHJU 120.92195 24.84508 1.61809924585756
DNAN 120.44799 23.6738 1.6718016251728
PKGM 120.3055 23.57989 1.31440968894185
SLIN 121.4414 23.81185 1.09451258551851
MESN 120.82626 23.26363 0.51340369659455
WULU 121.04147 23.16926 1.58957543072972
