stns Var2 Var3 spatialdata
DAWU 120.89004 22.34059 -0.119963582309258
GS36 120.62533 24.36204 -0.201794973177448
CTOU 120.27784 22.75468 0.104964377263441
HSIN 121.01425 24.82775 0.0946393057951289
GS31 120.27576 23.0189 0.0822839475578957
SSUN 120.37777 23.41415 -0.380707533251271
SFON 121.01016 24.93289 0.271521358550325
GS23 120.64768 24.09459 0.521586987199406
VR03 120.58151 23.86443 0.651676116634904
SLNP 121.63563 24.75311 0.737542588051097
MIAO 120.81026 24.58345 -0.708239816909086
GS09 121.65193 25.2086 0.848020445768607
WULI 121.30846 24.35228 -0.484441427078053
FNGU 120.72445 24.03516 0.311733174454069
S23R 120.60617 22.64498 0.777881806289354
AKND 120.35726 22.80331 0.693537180071599
FCWS 121.24981 24.85069 0.883928734539571
GS08 121.50149 25.20372 0.633864821213961
GS21 120.51237 24.0973 0.682870588894807
SHAN 121.19949 23.10886 0.749055711458549
DAJN 120.86497 22.3113 -0.378347147960312
GS25 120.64022 23.98651 0.764168070710499
CHUN 121.3931 23.45285 -1.28858008034958
FALI 120.5936 22.36525 0.982517934637217
YUSN 120.95914 23.4873 0.669293855005806
SUAN 120.29988 23.47757 0.76250842061294
BANC 121.4421 24.99765 0.464852426328586
DAHU 120.87183 24.42288 1.27391256823817
PEPU 121.61034 24.01788 1.36489505678275
CHGO 121.37453 23.09833 -1.1045983673383
GS33 120.18781 22.96442 0.756231283748562
TUNH 121.30022 23.07516 0.62153631347628
SJPU 120.48126 23.42854 0.841112220483052
TSIO 120.7041 24.47279 0.75711623033441
TAPU 120.58541 23.2508 -1.47380853527124
YENL 121.60184 23.9035 0.844753340918601
JHCI 120.54742 23.51372 0.504290883113981
JYAN 121.22634 24.24247 0.856125076774368
GS27 120.57787 23.82475 1.15298343359694
GS26 120.64602 23.86984 0.807102634582251
TAPE 121.23087 23.12557 0.83039227333693
NDHU 121.55081 23.89724 0.751272225131814
SANL 120.76855 23.66448 -2.33542661185175
GS35 120.30938 22.93552 1.04622152968826
SHWA 120.34781 23.02143 0.843764721542065
GUKN 120.58878 23.64586 -2.55804073955714
SANJ 121.50087 25.26079 0.877259804700251
GS34 120.27513 22.93922 0.335313249168888
SOFN 121.59816 23.87026 0.878925849495799
GS24 120.52608 24.02523 0.883095059542598
FUNY 120.32017 23.92231 0.812132400789082
NAAO 121.81021 24.44934 0.933014251890451
SHUL 121.56273 23.78761 -2.17306956354012
MOTN 121.02685 23.20054 0.827615347511284
GS32 120.33709 23.02578 1.89887916178572
SPAO 121.48486 24.20501 1.87703285380292
VR02 120.37348 23.89993 2.32686784232843
TAYN 120.76419 23.15934 0.953374308371692
YMSM 121.57405 25.16571 1.68679971254455
LNCH 120.40261 22.99458 0.731803929290188
CHEN 121.37358 23.0974 -0.228343949191175
THAI 121.29559 24.60712 0.259027798232355
S011 120.33945 23.20542 0.0583490324144363
YM03 121.6049 25.14661 0.694746883753777
PTUN 120.45968 22.64985 0.610252166748146
PINT 120.64056 23.75606 1.45332108792813
GS38 120.60058 24.2798 0.753556341632662
KASH 120.28835 22.61449 0.0549855751440915
CWEN 120.45276 23.47304 -0.20388301090887
JONP 120.524 23.42297 0.597465322714946
TOFN 120.9248 24.66204 1.05126108656229
WANS 120.88519 23.6075 0.683265278035344
GS12 121.38276 25.05303 0.690304852692866
NANK 120.27439 23.10199 -0.311016439245072
SGAN 120.34965 22.58127 0.0730851314737655
TAPO 121.23741 23.12706 0.612853693891344
PAOL 120.70287 23.10862 0.722244740988792
NCKU 120.27581 22.93845 0.87614850737033
WARO 121.44093 23.81202 0.489226257089479
KZN1 120.69798 23.94625 -2.28956283066225
SAND 120.64064 22.71727 0.603923472243984
DONA 120.70351 22.91562 0.972460393303509
GS05 120.5684 23.5671 0.746416870996213
WIPN 121.05855 24.67463 2.61453181671159
S103 120.47519 23.56437 0.650981245387007
YM05 121.56548 25.164 0.713727940706947
S012 120.48826 23.05947 -0.823272679753442
JSUI 121.42389 23.49198 -0.829532329950007
GS39 120.52959 24.18441 0.55354849753773
CHKU 120.09275 23.05584 0.819416495796013
YM02 121.56069 25.14838 0.599529955953919
ERPN 121.16611 22.94217 -2.52906026226132
LONT 121.13056 22.90631 0.818818906114071
GS16 121.0416 24.74787 0.450299712371868
TATA 120.88705 23.4814 0.5400074647969
GS11 121.49876 25.13356 0.838385650898166
TTUN 121.0807 22.76455 0.881524143612802
S106 120.33409 23.05079 0.894994539447839
SINL 121.25462 22.90829 0.693208103481055
GS13 121.45224 25.02 0.843686426267921
NCTU 120.99732 24.78882 0.720404476815421
GS15 120.99049 24.76664 0.822933649309685
GS10 121.46154 25.14615 1.16703411449174
GS28 120.21436 23.08098 0.828126357878984
JULI 121.31817 23.34166 2.42071027794319
DOSH 120.82688 24.26268 0.771848092156162
W029 120.66425 23.54079 0.806146074925867
NSHE 120.8009 24.22579 0.612023126179919
HUWE 120.28662 23.7294 -2.2716011987922
SHJU 120.92195 24.84508 0.649007429222785
DNAN 120.44799 23.6738 -2.52091995136777
PKGM 120.3055 23.57989 0.189559924003324
SLIN 121.4414 23.81185 0.584133463779818
MESN 120.82626 23.26363 -2.69088570946956
WULU 121.04147 23.16926 0.771014846362596
