stns Var2 Var3 spatialdata
DAWU 120.89004 22.34059 0.307789759058186
GS36 120.62533 24.36204 0.235813230988002
CTOU 120.27784 22.75468 0.0899697627001843
HSIN 121.01425 24.82775 0.229087685996356
GS31 120.27576 23.0189 0.0916231669387887
SSUN 120.37777 23.41415 0.156834364403856
SFON 121.01016 24.93289 0.361769846360179
GS23 120.64768 24.09459 0.424975289903517
VR03 120.58151 23.86443 0.492989883728747
SLNP 121.63563 24.75311 -0.0559125637722682
MIAO 120.81026 24.58345 0.0979355975303006
GS09 121.65193 25.2086 0.0899871795080781
WULI 121.30846 24.35228 -0.811400357761779
FNGU 120.72445 24.03516 0.411086477387914
S23R 120.60617 22.64498 -1.20345158540669
AKND 120.35726 22.80331 -0.343363132445052
FCWS 121.24981 24.85069 0.0608239360016904
GS08 121.50149 25.20372 0.143255814026513
GS21 120.51237 24.0973 0.360750504801953
SHAN 121.19949 23.10886 -0.293400285335529
DAJN 120.86497 22.3113 -0.186353887973548
GS25 120.64022 23.98651 0.324484053135835
CHUN 121.3931 23.45285 0.784643148484438
FALI 120.5936 22.36525 0.758490544387763
YUSN 120.95914 23.4873 0.550910502860596
SUAN 120.29988 23.47757 0.816634971075392
BANC 121.4421 24.99765 -0.0156771693284428
DAHU 120.87183 24.42288 0.036906181185113
PEPU 121.61034 24.01788 0.52325936154179
CHGO 121.37453 23.09833 -0.0440496853522143
GS33 120.18781 22.96442 0.204655705710952
TUNH 121.30022 23.07516 -0.0829211975180052
SJPU 120.48126 23.42854 -1.01295343382137
TSIO 120.7041 24.47279 0.00859560459726343
TAPU 120.58541 23.2508 -0.842942239384756
YENL 121.60184 23.9035 1.2440224314422
JHCI 120.54742 23.51372 -0.213911882778642
JYAN 121.22634 24.24247 -0.469747352455451
GS27 120.57787 23.82475 0.208284060440351
GS26 120.64602 23.86984 -0.143878063962817
TAPE 121.23087 23.12557 1.6332045959701
NDHU 121.55081 23.89724 0.760222275262008
SANL 120.76855 23.66448 -0.272556491750799
GS35 120.30938 22.93552 -0.762081979411735
SHWA 120.34781 23.02143 -1.13245812445661
GUKN 120.58878 23.64586 0.0236753275563415
SANJ 121.50087 25.26079 0.253986810553684
GS34 120.27513 22.93922 -0.734172246825537
SOFN 121.59816 23.87026 1.4063837427487
GS24 120.52608 24.02523 0.930824736203945
FUNY 120.32017 23.92231 1.27403939201121
NAAO 121.81021 24.44934 0.712126789032426
SHUL 121.56273 23.78761 1.74306065530169
MOTN 121.02685 23.20054 -1.75849297177762
GS32 120.33709 23.02578 -0.238881628893691
SPAO 121.48486 24.20501 -1.826503557934
VR02 120.37348 23.89993 4.64074012612078
TAYN 120.76419 23.15934 -1.69694317386427
YMSM 121.57405 25.16571 2.79486072680562
LNCH 120.40261 22.99458 -3.26312695081126
CHEN 121.37358 23.0974 0.287464350289066
THAI 121.29559 24.60712 -0.333746004700336
S011 120.33945 23.20542 -0.0721467284716052
YM03 121.6049 25.14661 0.187788393566783
PTUN 120.45968 22.64985 -0.0636737226622043
PINT 120.64056 23.75606 0.701256530857245
GS38 120.60058 24.2798 0.344830288762009
KASH 120.28835 22.61449 0.292420205089989
CWEN 120.45276 23.47304 0.1126352615117
JONP 120.524 23.42297 -0.217522109138646
TOFN 120.9248 24.66204 -0.0436275980530368
WANS 120.88519 23.6075 -1.06010986288168
GS12 121.38276 25.05303 0.189059877043091
NANK 120.27439 23.10199 0.044174103907669
SGAN 120.34965 22.58127 0.199366369573413
TAPO 121.23741 23.12706 -1.14810157924139
PAOL 120.70287 23.10862 -1.80100929637513
NCKU 120.27581 22.93845 -0.823423975928831
WARO 121.44093 23.81202 0.404499909381426
KZN1 120.69798 23.94625 0.614150878057257
SAND 120.64064 22.71727 -0.256894890625442
DONA 120.70351 22.91562 -0.831431385762503
GS05 120.5684 23.5671 -0.0327172835465328
WIPN 121.05855 24.67463 -0.0449512895977264
S103 120.47519 23.56437 -0.0799776604857102
YM05 121.56548 25.164 0.221352100210169
S012 120.48826 23.05947 -1.37177439120203
JSUI 121.42389 23.49198 0.144460993008074
GS39 120.52959 24.18441 0.279589344883768
CHKU 120.09275 23.05584 0.598960388742912
YM02 121.56069 25.14838 0.00818084909022409
ERPN 121.16611 22.94217 -1.90090131442637
LONT 121.13056 22.90631 -0.302822933947559
GS16 121.0416 24.74787 0.0450444193002875
TATA 120.88705 23.4814 0.0827062589366019
GS11 121.49876 25.13356 0.527822417381931
TTUN 121.0807 22.76455 0.437900910564559
S106 120.33409 23.05079 -0.774486150407378
SINL 121.25462 22.90829 -0.0430843846482013
GS13 121.45224 25.02 1.08824489142166
NCTU 120.99732 24.78882 0.752415727326889
GS15 120.99049 24.76664 -0.00255563355392097
GS10 121.46154 25.14615 0.901974724555728
GS28 120.21436 23.08098 0.433796846923943
JULI 121.31817 23.34166 1.05898171753595
DOSH 120.82688 24.26268 -0.341276267567286
W029 120.66425 23.54079 -0.413957457014026
NSHE 120.8009 24.22579 0.413138694145054
HUWE 120.28662 23.7294 3.23561012614959
SHJU 120.92195 24.84508 0.307878484214274
DNAN 120.44799 23.6738 1.7086690119171
PKGM 120.3055 23.57989 2.22380878830508
SLIN 121.4414 23.81185 -0.132600186778107
MESN 120.82626 23.26363 -0.681714432564421
WULU 121.04147 23.16926 -1.7475477563496
