stn,lon,lat
DAWU,120.89004,22.34059
GS36,120.62533,24.36204
CTOU,120.27784,22.75468
HSIN,121.01425,24.82775
GS31,120.27576,23.0189
SFON,121.01016,24.93289
VR03,120.58151,23.86443
SSUN,120.37777,23.41415
GS23,120.64768,24.09459
MIAO,120.81026,24.58345
SLNP,121.63563,24.75311
WULI,121.30846,24.35228
GS09,121.65193,25.2086
FNGU,120.72445,24.03516
S23R,120.60617,22.64498
AKND,120.35726,22.80331
FCWS,121.24981,24.85069
GS21,120.51237,24.0973
DAJN,120.86497,22.3113
BANC,121.4421,24.99765
GS08,121.50149,25.20372
SHAN,121.19949,23.10886
GS25,120.64022,23.98651
FALI,120.5936,22.36525
DAHU,120.87183,24.42288
PEPU,121.61034,24.01788
SUAN,120.29988,23.47757
YUSN,120.95914,23.4873
TUNH,121.30022,23.07516
CHGO,121.37453,23.09833
GS33,120.18781,22.96442
SJPU,120.48126,23.42854
CHUN,121.3931,23.45285
TSIO,120.7041,24.47279
JYAN,121.22634,24.24247
JHCI,120.54742,23.51372
YENL,121.60184,23.9035
SANL,120.76855,23.66448
GS27,120.57787,23.82475
TAPE,121.23087,23.12557
NDHU,121.55081,23.89724
GS26,120.64602,23.86984
TAPU,120.58541,23.2508
GS34,120.27513,22.93922
GS35,120.30938,22.93552
SANJ,121.50087,25.26079
GUKN,120.58878,23.64586
SHWA,120.34781,23.02143
GS24,120.52608,24.02523
SOFN,121.59816,23.87026
GS32,120.33709,23.02578
SHUL,121.56273,23.78761
FUNY,120.32017,23.92231
NAAO,121.81021,24.44934
MOTN,121.02685,23.20054
SPAO,121.48486,24.20501
VR02,120.37348,23.89993
TAYN,120.76419,23.15934
YMSM,121.57405,25.16571
LNCH,120.40261,22.99458
CHEN,121.37358,23.0974
THAI,121.29559,24.60712
S011,120.33945,23.20542
YM03,121.6049,25.14661
PTUN,120.45968,22.64985
PINT,120.64056,23.75606
GS38,120.60058,24.2798
KASH,120.28835,22.61449
TOFN,120.9248,24.66204
CWEN,120.45276,23.47304
JONP,120.524,23.42297
TAPO,121.23741,23.12706
SAND,120.64064,22.71727
WANS,120.88519,23.6075
S103,120.47519,23.56437
NCKU,120.27581,22.93845
PAOL,120.70287,23.10862
GS12,121.38276,25.05303
YM02,121.56069,25.14838
WARO,121.44093,23.81202
WIPN,121.05855,24.67463
DONA,120.70351,22.91562
KZN1,120.69798,23.94625
NANK,120.27439,23.10199
GS11,121.49876,25.13356
S012,120.48826,23.05947
SGAN,120.34965,22.58127
GS16,121.0416,24.74787
GS05,120.5684,23.5671
CHKU,120.09275,23.05584
GS39,120.52959,24.18441
TTUN,121.0807,22.76455
GS13,121.45224,25.02
YM05,121.56548,25.164
ERPN,121.16611,22.94217
JSUI,121.42389,23.49198
JULI,121.31817,23.34166
SHJU,120.92195,24.84508
TATA,120.88705,23.4814
GS15,120.99049,24.76664
DOSH,120.82688,24.26268
NCTU,120.99732,24.78882
GS10,121.46154,25.14615
S106,120.33409,23.05079
LONT,121.13056,22.90631
MESN,120.82626,23.26363
SINL,121.25462,22.90829
GS28,120.21436,23.08098
SLIN,121.4414,23.81185
PKGM,120.3055,23.57989
W029,120.66425,23.54079
WULU,121.04147,23.16926
NSHE,120.8009,24.22579
DNAN,120.44799,23.6738
HUWE,120.28662,23.7294
